Name,RA,DE,Redshift,Vlsr,DistMpc,SDSSu,SDSSg,SDSSr,SDSSi,Re,R50,Ellipticity,PA,Mstar
UGC04455,8.525797,-1.197820,0.031021,9026.413261,126.337455,16.341126,14.903784,13.902815,14.169742,16.332731,18.513773,0.818909,-6.683554,10.8074
UGC04722,9.006699,25.614700,0.006080,1812.995771,26.749100,15.920826,15.346711,15.035315,15.159603,18.719694,22.450902,0.987508,30.356110,8.29406
UGC05358,9.979760,11.388700,0.009862,2929.580735,41.737189,16.088353,15.461170,14.806470,15.024914,19.649668,21.889629,0.911447,8.327449,8.97128
UGC05377,10.008771,3.205160,0.007105,2116.359897,29.712920,15.937231,15.215226,14.586770,14.824496,29.685579,24.134719,0.635200,-28.504907,8.77746
UGC05396,10.027913,10.756400,0.017978,5298.272030,75.068024,15.954231,14.830148,14.049284,14.285748,19.825371,19.508958,0.965679,-27.607098,10.0851
UGC06320,11.304797,18.847090,0.009252,2750.187664,40.098612,14.582759,13.904552,13.552932,13.655012,17.943860,17.279363,0.678067,16.310049,9.2108
UGC08322,13.250253,12.725300,0.025402,7431.884606,106.156698,15.730928,14.144943,13.102329,13.462280,11.210905,11.225451,0.899454,29.483950,11.0318
UGC08781,13.872987,21.539400,0.025127,7353.293697,105.754414,15.841081,14.246372,13.297553,13.602201,13.615698,17.836762,0.688120,-19.767194,10.9607
UGC09777,15.237540,20.478700,0.015789,4663.123559,68.034070,15.644491,14.509250,13.612537,13.902452,13.245547,13.556936,0.790916,37.505283,10.1635
UGC10117,15.989977,21.603530,0.017797,5245.739221,76.386081,15.953935,14.508189,13.440728,13.820752,13.665115,18.640786,0.855231,9.536741,10.5361
UGC10337,16.324613,7.278700,0.029395,8566.717761,122.275329,15.960218,14.604547,13.621486,13.935469,20.740003,34.457211,0.848983,-37.604439,10.9589
UGC10388,16.450827,16.382200,0.015425,4557.311601,66.403855,15.783808,14.266777,13.290413,13.627026,12.110232,13.377571,0.958184,-21.488462,10.4833
UGC10650,17.004054,23.106300,0.010667,3166.270479,47.228895,15.521918,15.230905,14.792167,14.909502,19.148756,29.373360,0.863899,20.904395,8.90796
UGC10799,17.315073,29.856000,0.027620,8063.290174,116.566546,21.222349,19.933787,19.758038,19.792821,10.569808,9.602829,0.817204,-6.656804,8.06519
UGC10905,17.568453,25.344000,0.025752,7531.609435,108.831191,15.568331,13.863534,12.835510,13.141722,11.536212,13.470541,0.563058,0.839625,11.2614
UGC10972,17.772754,26.543800,0.015395,4548.430526,66.872393,15.598752,14.394726,13.593437,13.856213,22.878854,38.976190,0.791782,-18.780332,10.2156
UGC11649,20.924341,-1.225200,0.012574,3725.381057,52.997865,15.624587,14.093101,13.167329,13.469134,16.732830,22.853351,0.775432,20.834371,10.3073
UGC11680NED02,21.129405,3.877860,0.026462,7734.020672,109.764341,15.306419,14.542695,13.758124,14.041799,9.243738,5.573988,0.530315,-13.061446,10.3503
UGC11717,21.309841,19.718700,0.020884,6137.108444,88.287934,15.484649,14.179689,13.163961,13.493334,31.703830,52.198347,0.774086,-7.552656,10.7818
UGC11792,21.703526,5.615400,0.016015,4728.841132,67.405097,16.075698,14.982788,13.939724,14.274848,17.682235,22.295952,0.983035,-23.426239,10.2561
